packet                                                             rtemp  rhum  chan  unit
11111111111010100010110000001001001000101100000011011100100100000  71.2   27    3     f
11111111111010100010110000001001001000101100100100010000100100000  71.3   34    3     f
11111111111010100010110000001001001000110101000100011111010100000  73.0   35    3     f
11111111111010100010110000001001001001000101100100001111001000000  76.0   28    3     f
11111111111010100010110000001001001001000101100011011000101110000  76.0   27    3     f
11111111111010100010110000001001001001000101100011000001001110000  76.3   24    3     f
11111111111010100010110000001001001010111011000001101101101010000  99.8   13    3     f
11111111111010100010110000001001001010111010000001101001100110000  99.6   13    3     f
11111111111010100010110000001001001011000101100001101001010000000  101.0  13    3     f
11111111111010100010110100000010101000010000100100010100001100000  65.9   34    6     f
11111111111010100010110100000010101000010111000100001001101000000  NA     NA    6     f
11111111111010100010101101101000101000100100100110101010111110000  NA     NA    2     f
11111111111010100010100001100000001000110000000110011001101000000  NA     NA    1     f
11111111111010100010110000101001101000110010000101010000011110000  NA     NA    4     f
11111111111010100010110000101001101000110000000100101110000100000  NA     NA    4     f
11111111111010100010101110011010001000110101001000101011111100000  NA     NA    5     f
11111111111010100010111101001011001000110001000101001110001010000  NA     NA    7     f
11111111111010100010111101001011001000101111100101000111111000000  NA     NA    7     f
11111111111010100010101110110011101000101110000110010100100110000  NA     NA    8     f
11111111111010100010110111000011101000110001000101010100000100000  22.3   42    8     c
11111111111010100010110111000011101000110011000100111011011110000  22.6   39    8     c
11111111111010100010110000110000001000110111000111010110101010000  23.0   58    1     c
11111111111010100010100110010000101000111000100101011101101100000  NA     NA    2     c
11111111111010100010100010100001001000110111000101100111101100000  NA     NA    3     c
11111111111010100010100011001001101000110101000101010011011100000  NA     NA    4     c
11111111111010100010101010011010001000110000100100111010000000000  NA     NA    5     c
11111111111010100010111010111010101000101011000111101101011000000  NA     NA    6     c
11111111111010100010110011111011001000101000000101110000001110000  NA     NA    7     c
11111111111010100010101100000011101000100111100101000001000110000  NA     NA    8     c
